SERNO,END_INSTANCE,END_CLOCK,START_CLOCK,START_INSTANCE,CDC_TYPE,SYNCHRONIZER,NUMBER_OF_SYNCHRONIZER_FFs,SAFE_CDC,DESCRIPTION
1,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_3,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
2,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_3,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
3,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_3,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT3,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
4,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_3,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
5,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_0,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
6,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_0,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
7,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_0,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT3,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
8,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_0,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
9,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_2,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
10,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_2,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
11,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_2,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT3,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
12,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_2,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
13,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_7,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
14,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_7,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
15,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_7,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT3,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
16,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_7,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
17,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_4,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
18,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_4,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
19,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_4,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT3,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
20,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_4,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
21,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_6,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
22,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_6,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
23,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_6,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT3,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
24,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_6,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
25,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_1,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
26,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_1,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
27,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_1,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT3,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
28,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_1,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
29,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_5,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
30,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_5,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
31,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_5,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT3,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
32,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_5,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
33,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_3,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
34,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_3,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
35,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_3,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT3,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
36,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_3,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
37,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_0,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
38,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_0,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
39,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_0,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT3,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
40,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_0,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
41,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_2,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
42,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_2,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
43,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_2,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT3,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
44,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_2,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
45,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_7,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
46,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_7,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
47,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_7,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT3,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
48,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_7,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
49,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_4,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
50,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_4,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
51,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_4,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT3,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
52,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_4,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
53,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_6,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
54,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_6,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT2,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
